AuthorId,AuthorName,Gender,Age,Followers,Following,FollowerUsers,FollowingUsers,password
1,Carole Reu,Male,19,28,17,"""141,298,442,1196,1731,1866,2561,3378,3783,3823,3988,4245,4724,5473,5741,5958,5984,6062,6260,7007,7452,7844,7960,9234,9255,9515,9528,9683""","""392,547,1241,1303,1754,1917,2318,2579,2822,3335,4270,6373,7199,7519,7527,7586,7864""",Abc12345@
2,Dancer,Male,57,241,7,"""91,111,175,199,203,206,209,226,266,272,325,388,391,393,416,469,491,550,598,630,632,652,713,722,762,786,837,889,896,940,958,972,985,989,998,1006,1060,1064,1077,1082,1108,1264,1336,1385,1461,1520,1556,1600,1634,1789,1791,1820,1880,1881,1932,1969,1989,2016,2077,2117,2142,2151,2203,2261,2268,2281,2296,2305,2393,2442,2463,2470,2496,2500,2513,2557,2580,2584,2590,2594,2608,2628,2770,2793,2819,2822,2873,2928,3157,3190,3191,3249,3253,3384,3393,3400,3511,3570,3664,3667,3668,3720,3756,3866,3877,3920,3935,4038,4072,4099,4235,4336,4404,4409,4419,4520,4579,4617,4714,4820,4822,4948,4985,4987,5017,5194,5233,5273,5330,5409,5478,5502,5508,5540,5588,5591,5767,5807,5851,5852,5867,5880,5964,5994,5997,6004,6028,6041,6048,6254,6286,6292,6303,6315,6364,6381,6408,6425,6529,6550,6556,6675,6694,6811,6812,6824,6898,6990,7024,7071,7088,7105,7171,7239,7271,7365,7382,7404,7423,7501,7650,7698,7715,7734,7776,7801,7804,7816,7895,7908,7961,7976,7997,8011,8076,8107,8111,8148,8184,8196,8293,8300,8346,8375,8394,8407,8436,8631,8672,8714,8744,8804,8808,8833,8964,9012,9025,9071,9116,9119,9177,9200,9205,9287,9305,9317,9387,9401,9425,9486,9531,9544,9557,9584,9592,9611,9663,9721,9771,9772,9843""","""96,155,487,1079,1508,2585,7016""",Abc12345@
3,Tonkcats,Male,39,2,73,"""186,227""","""16,86,460,741,745,804,843,1128,1191,1431,1522,1570,1590,1711,1860,1892,2180,2269,2293,2419,2535,2638,2750,2767,2846,2892,3030,3078,3230,3371,3423,3494,3683,3689,3882,3948,3968,4121,4574,4729,4762,4948,5020,5311,5506,5668,5786,5893,6273,6557,6616,6921,6974,7038,7248,7287,7694,7709,8284,8379,8546,8706,8845,8896,8933,9020,9205,9281,9379,9408,9540,9663,9806""",Abc12345@
4,Marg CaymanDesigns ,Male,20,349,193,"""11,36,47,66,72,217,245,254,261,313,322,328,347,363,426,432,441,565,597,601,607,611,647,653,714,759,825,875,904,936,959,1036,1055,1079,1091,1093,1104,1207,1238,1278,1299,1330,1356,1381,1382,1384,1386,1403,1414,1439,1501,1530,1559,1569,1577,1601,1624,1669,1712,1771,1779,1810,1813,1814,1840,1903,1937,1950,1993,2008,2032,2049,2084,2098,2099,2104,2106,2212,2213,2216,2268,2277,2291,2359,2407,2424,2454,2477,2479,2523,2549,2563,2567,2618,2656,2680,2711,2715,2719,2733,2783,2795,2809,2820,2821,2853,2864,2885,2892,2902,2911,2983,3043,3048,3079,3101,3113,3127,3134,3182,3196,3233,3286,3289,3290,3317,3343,3372,3381,3392,3399,3414,3492,3494,3502,3522,3549,3559,3560,3577,3605,3615,3640,3657,3680,3718,3761,3771,3820,3836,3844,3847,3874,3896,3921,3962,4001,4038,4040,4052,4119,4161,4236,4297,4319,4322,4325,4358,4359,4375,4421,4464,4500,4506,4529,4572,4577,4663,4668,4797,4820,4826,4843,4866,4869,4874,4907,4920,4940,4961,4986,4995,5003,5011,5032,5035,5047,5058,5072,5075,5118,5188,5231,5277,5313,5331,5367,5380,5409,5426,5459,5468,5493,5523,5590,5622,5632,5644,5719,5728,5738,5825,5826,5844,5917,5936,5945,5951,5969,6057,6080,6157,6191,6254,6313,6359,6471,6528,6545,6548,6593,6605,6652,6705,6729,6895,6930,6969,6993,7033,7038,7072,7078,7082,7144,7230,7249,7254,7278,7336,7445,7453,7500,7532,7543,7599,7639,7648,7668,7710,7716,7727,7736,7740,7744,7778,7807,7839,7945,7962,7991,7992,8008,8009,8022,8035,8039,8045,8079,8087,8094,8114,8171,8315,8323,8357,8363,8367,8386,8390,8399,8405,8481,8492,8500,8503,8512,8519,8533,8551,8691,8695,8707,8735,8756,8785,8831,8884,8937,8960,8976,9030,9069,9110,9127,9173,9179,9187,9243,9272,9280,9293,9298,9356,9358,9450,9479,9506,9536,9558,9560,9624,9634,9638,9644,9664,9669,9704,9745""","""23,48,60,92,128,149,216,288,342,428,516,523,614,666,705,734,936,950,990,1045,1085,1090,1100,1119,1173,1220,1246,1310,1343,1358,1372,1379,1465,1541,1545,1577,1593,1724,1747,1788,2035,2071,2128,2200,2211,2236,2423,2479,2523,2532,2562,2587,2621,2658,2659,2677,2843,2922,2969,2985,3010,3049,3161,3275,3312,3320,3332,3351,3374,3466,3469,3562,3563,3707,3714,3879,3913,3992,4012,4033,4039,4070,4093,4290,4298,4379,4541,4575,4643,4645,4726,4730,4832,4896,4900,4938,4967,5050,5053,5092,5102,5134,5140,5178,5234,5240,5517,5633,5640,5660,5669,5753,5759,5992,6006,6080,6092,6163,6173,6178,6194,6302,6358,6362,6374,6421,6469,6553,6627,6663,6744,6749,6816,6862,6939,6986,6996,7068,7082,7134,7171,7228,7357,7362,7447,7522,7573,7727,7848,7859,7986,8060,8103,8126,8157,8166,8209,8246,8278,8331,8346,8355,8468,8500,8509,8531,8553,8570,8584,8594,8725,8765,8776,8818,8864,8925,8936,9105,9176,9232,9473,9514,9554,9570,9602,9609,9641,9644,9650,9704,9787,9816,9844""",Abc12345@
5,Barbara5,Male,45,2,5,"""48,3745""","""210,256,298,1241,2421""",Abc12345@
6,Doreen Randal,Male,40,5,10,"""436,462,746,1241,2169""","""434,1505,1842,2233,3487,3946,4964,5055,5728,8483""",Abc12345@
7,Nancy Van Ess,Female,32,41,3,"""82,519,892,1038,1055,1204,1258,1387,1678,2282,2386,2430,2669,2744,3378,3728,3814,3961,4047,4225,4722,5326,6097,6137,6158,6191,6546,6962,7160,7524,7621,7635,8070,8089,8160,8172,8614,8770,9063,9197,9592""","""223,3023,5843""",Abc12345@
8,Morton Design Graph,Male,44,2,4,"""1197,8390""","""207,1069,1779,3991""",Abc12345@
9,Dave5003,Male,23,4,7,"""1241,2455,3229,3721""","""18,230,613,1415,2802,3072,6946""",Abc12345@
10,CMP cc,Female,38,2,4,"""60,1022""","""250,556,1694,3478""",Abc12345@
